athlete_number,athlete_relative_age,athlete_gender_marker,athlete_sport,club_division,active_minutes,contributing_seconds,total_distance_m,total_high_intensity_distance_m,total_sprint_distance_m,high_intensity_events,sprint_events,avg_speed_kph,max_speed_kph,acceleration_events,deceleration_events,max_acceleration,max_deceleration,metres_per_minute,percentage_max_speed_kph,session_load
"1,081",18,Female,association_football,DI,90,"5,400","7,031.86",223.07,74.53,30,7,4.69,25.34,45,49,4.91,6.66,78.13,59.59,999.52
"1,081",18,Female,association_football,DI,120,"7,200","1,904.57",0,0,0,0,0.95,17.75,27,15,5.65,5.69,15.87,41.73,336.5
"1,081",18,Female,association_football,DI,90,"5,400","1,237.55",0,0,0,0,0.83,15.19,6,7,4.46,4.08,13.75,35.72,201.64
"1,081",18,Female,association_football,DI,120,"7,200","5,269.62",94.64,142.11,14,10,2.63,28.19,51,44,6.98,5.64,43.91,66.28,"1,079.28"
"1,081",18,Female,association_football,DI,120,"7,200","5,535.15",37.31,25.68,6,3,2.77,26.86,46,38,7.59,5.96,46.13,63.15,"1,220.33"
"1,081",18,Female,association_football,DI,120,"7,200","2,018.08",12.05,4.87,3,1,1.01,23.18,35,27,7.08,6.63,16.82,54.51,398.02
"1,081",18,Female,association_football,DI,120,"7,200",382.69,0,0,0,0,0.19,10.19,1,0,4.45,0,3.19,23.95,46.17
"1,081",18,Female,association_football,DI,120,"7,200",226.68,0,0,0,0,0.11,7.02,1,0,4.39,0,1.89,16.51,27.43
"1,081",18,Female,association_football,DI,120,"7,200","2,051.41",3.76,0,1,0,1.03,19.65,10,1,4.71,2.68,17.1,48.05,153.93
"1,081",18,Female,association_football,DI,120,"7,200","4,508.86",42.06,10.9,6,2,2.25,22.97,32,18,5.41,5.47,37.57,56.17,403.21
"1,081",18,Female,association_football,DI,120,"7,200","4,060.59",51.35,10.31,6,1,2.03,22.69,24,19,4.83,7.08,33.84,55.49,391.09
"1,081",18,Female,association_football,DI,90,"5,400","3,344.53",3.3,0,1,0,2.23,19.52,24,5,5.3,3.95,37.16,47.73,328.93
"1,081",18,Female,association_football,DI,150,"9,000","7,064.67",166.03,43.79,16,4,2.83,24.46,37,44,5.57,6.43,47.1,59.82,871.95
"1,081",18,Female,association_football,DI,120,"7,200","5,169.91",3.3,0,1,0,2.58,19.21,23,42,3.99,6.55,43.08,46.97,586.14
"1,081",18,Female,association_football,DI,120,"7,200",543.56,0,0,0,0,0.27,10.22,0,0,0,0,4.53,24.98,31.11
"1,081",18,Female,association_football,DI,90,"5,400","4,607.40",55.66,0,7,0,3.07,23.24,43,43,5.54,5.45,51.19,56.83,561.22
"1,081",18,Female,association_football,DI,95,"5,700","8,065.15",259.73,61.9,31,5,5.09,25.16,57,47,5.17,5.82,84.9,61.51,"1,177.61"
"1,081",18,Female,association_football,DI,90,"5,400","2,483.12",0,0,0,0,1.66,16.16,10,5,6.84,4.82,27.59,39.51,226.12
"1,081",18,Female,association_football,DI,95,"5,700","8,388.91",296.12,69.89,37,5,5.3,26.22,38,56,4.89,6.94,88.3,64.11,"1,053.33"
"1,081",18,Female,association_football,DI,90,"5,400","2,002.16",0,0,0,0,1.33,15.58,4,5,4.49,3.78,22.25,38.09,139.6
"1,081",18,Female,association_football,DI,90,"5,400","2,609.72",0,0,0,0,1.74,18.02,10,3,4.48,4.09,29,44.07,252.66
"1,081",18,Female,association_football,DI,120,"7,200","5,566.31",19.47,21.09,4,1,2.78,23.76,41,36,5.58,6.49,46.39,58.09,611.31
"1,081",18,Female,association_football,DI,90,"5,400","4,504.24",33.17,0,2,0,3,21.75,23,23,5.01,5.18,50.05,53.19,481.17
"1,081",18,Female,association_football,DI,120,"7,200","3,203.96",5.18,0,1,0,1.6,20.39,21,19,5.76,6.08,26.7,49.85,402.97
"1,081",18,Female,association_football,DI,100,"6,000","8,361.25",279.49,106.47,30,7,5.02,26.06,64,52,4.86,7.3,83.61,63.72,"1,079.17"
"1,081",18,Female,association_football,DI,90,"5,400","3,707.97",5.67,0,1,0,2.47,21.7,36,21,7.05,6.4,41.2,53.05,412.55
"1,081",18,Female,association_football,DI,90,"5,400","2,033.88",0,0,0,0,1.36,15.05,1,2,3.76,3.8,22.6,36.8,191.05
"1,081",18,Female,association_football,DI,90,"5,400","7,470.52",173.75,129.85,22,9,4.98,26.8,44,42,4.93,6.4,83.01,65.53,"1,045.55"
"1,081",18,Female,association_football,DI,85,"5,100",460.87,0,0,0,0,0.33,9.04,0,0,0,0,5.42,22.09,25.64
"1,081",18,Female,association_football,DI,90,"5,400","7,754.08",162.02,41.62,21,4,5.17,24.54,35,42,5.34,7,86.16,59.99,"1,023.42"
"1,081",18,Female,association_football,DI,120,"7,200","2,673.96",201.34,"1,862.26",22,34,1.34,40.9,1,5,2.64,3.38,22.28,155.97,444.83
