athlete_number,athlete_relative_age,active_minutes,total_distance_m,max_speed_kph,session_load,total_dist_perc_rank,max_speed_perc_rank,session_load_perc_rank
8588,18,90,4316.64,20.7,532.79,56.47058824,36.33986928,54.96732026
8588,18,85,2726.18,20.73,340.72,34.96732026,36.60130719,34.83660131
8588,18,90,4588.2,26.13,596.62,61.50326797,84.96732026,59.86928105
8588,18,90,586.13,6.75,12.76,13.7254902,2.810457516,0.980392157
8588,18,90,2895.26,19.32,321.58,37.58169935,24.5751634,33.20261438
8588,18,90,3917.86,21.34,509.23,50.58823529,44.37908497,52.35294118
8588,18,90,4168.81,25.12,544.75,53.85620915,78.10457516,55.94771242
8588,18,120,3116.95,23,403.8,39.67320261,61.11111111,40.52287582
8588,18,120,1484.92,26.01,214.56,20.32679739,83.9869281,23.85620915
8588,18,95,956.01,5.65,15.2,16.66666667,1.045751634,1.37254902
8588,18,90,3655.13,21.74,504.37,45.62091503,48.36601307,51.96078431
8588,18,90,1934.37,23.71,238.57,24.44444444,67.12418301,26.07843137
8588,18,120,6017.76,24.25,765.85,80.65359477,70,73.33333333
8588,18,120,2372.96,20.55,251.41,29.54248366,34.5751634,26.99346405
8588,18,120,3716.32,18.68,405.6,46.79738562,22.02614379,40.91503268
8588,18,120,4743.94,20.87,522.15,63.85620915,38.43137255,53.9869281
8588,18,150,6418.2,23.55,1043.74,84.96732026,66.0130719,88.23529412
8588,18,120,5199.66,21.86,684.49,70.58823529,50.32679739,67.25490196
8588,18,120,5419.21,20.41,740.08,73.85620915,32.94117647,71.37254902
8588,18,90,4314.65,26.19,544.79,56.40522876,85.75163399,56.0130719
8993,21,120,4177.39,23.73,556.67,64.56456456,69.36936937,61.56156156
8993,21,87,3356.07,19.8,405.55,43.24324324,25.22522523,37.23723724
8993,21,97,6539.72,20.3,1098.24,96.6966967,27.92792793,94.89489489
8993,21,105,6331.86,26.41,930.34,96.0960961,88.88888889,88.58858859
8993,21,94,3685.73,21.21,453.33,54.65465465,41.14114114,45.34534535
8993,21,97,3312.72,20.07,413.87,42.04204204,26.12612613,38.43843844
8993,21,91,3833.89,23.4,548.84,57.65765766,64.26426426,60.06006006
8993,21,93,1470.94,21.68,252.3,8.408408408,48.34834835,14.41441441
8993,21,90,2760.77,23.89,415.08,28.22822823,71.17117117,39.03903904
8993,21,75,4661.37,21.67,413.13,76.27627628,48.04804805,38.13813814
8993,21,75,3929.96,23.88,386.57,59.45945946,70.87087087,34.53453453
8993,21,75,3288.2,17.88,308.14,41.14114114,15.61561562,22.22222222
8993,21,75,4533.63,20.73,449.95,73.57357357,33.93393393,44.74474474
8993,21,70,2442.74,17.73,300.35,21.92192192,14.11411411,21.02102102
8993,21,109,707.67,13.58,38.23,5.105105105,3.603603604,3.003003003
8993,21,120,4197.25,20.32,620.65,65.46546547,28.22822823,69.66966967
8993,21,100,2205.37,19.51,359.49,15.61561562,23.72372372,30.03003003
8993,21,75,3068.68,20.84,521.18,36.03603604,36.33633634,55.85585586
8993,21,108,2715.17,21.12,444.24,26.72672673,39.33933934,43.54354354
8993,21,83,3452.17,22.91,529.29,46.24624625,57.35735736,57.65765766
8993,21,120,3642.41,20.55,542.34,53.15315315,31.53153153,59.45945946
8993,21,95,2172.63,16.24,212.92,14.71471471,10.21021021,10.51051051
8993,21,100,5166.96,21.57,823.93,86.18618619,46.54654655,84.68468468
8993,21,110,4355.47,24.38,582.91,70.57057057,75.07507508,65.16516517
8993,21,120,3405.44,17.27,370.21,45.34534535,12.31231231,32.73273273
8993,21,95,3981.01,24,555.95,60.66066066,72.67267267,60.96096096
8993,21,111,3067.92,20.78,447.63,35.73573574,35.13513514,44.14414414
8993,21,112,628.3,13.82,45.42,4.204204204,4.804804805,3.903903904
8993,21,115,255.7,15.14,26.95,0.900900901,7.807807808,1.501501502
8993,21,112,3052.41,18.94,488.91,35.43543544,19.51951952,50.75075075
8993,21,75,2538.91,22.06,284.08,22.82282282,50.75075075,18.01801802
8993,21,111,1137.14,17.03,115.58,7.507507508,11.11111111,6.906906907
8993,21,75,2786.93,18.55,325.72,29.42942943,18.01801802,24.62462462
8993,21,111,587.5,15.91,53.16,3.303303303,9.009009009,4.504504505
8993,21,106,2924.2,19.83,472.75,32.73273273,25.52552553,48.04804805
8993,21,106,598.8,13.66,45.6,3.903903904,4.204204204,4.204204204
8993,21,100,4707.35,23.64,916.23,77.17717718,67.86786787,87.98798799
8993,21,107,1646.55,19.39,200.02,9.309309309,22.22222222,9.309309309
9385,18,120,5630.42,22.79,717.14,76.99346405,59.86928105,70.13071895
9385,18,120,6362.56,24.29,973.06,84.64052288,70.52287582,84.5751634
9385,18,120,5952.36,25.68,1040.45,80,82.35294118,88.10457516
9385,18,150,8152.49,28.63,1326.51,95.68627451,95.35947712,95.03267974
9385,18,90,2104.06,23.25,208.5,26.2745098,63.66013072,23.46405229
9385,18,120,3866.53,22.48,447.58,49.08496732,56.60130719,45.4248366
9385,18,120,5475.74,24.85,754.2,74.50980392,75.68627451,72.54901961
9385,18,120,4313.75,26.28,676.91,56.33986928,86.53594771,66.47058824
9385,18,105,10457.89,24.54,2134.11,99.73856209,72.87581699,99.80392157
9385,18,120,7374.24,27.91,1086.46,92.02614379,93.7254902,89.73856209
9385,18,95,8943.89,28.32,1632.1,97.97385621,94.83660131,98.49673203
9385,18,90,921.64,13.83,86.06,16.40522876,15.88235294,16.53594771
9385,18,95,7566.6,26.35,1476.75,92.87581699,86.92810458,97.25490196
9385,18,90,4789.06,22.34,619.85,64.44444444,54.64052288,61.69934641
9385,18,90,3888.8,24.02,544.67,49.73856209,68.43137255,55.88235294
9385,18,120,6146.42,26.92,818.07,82.02614379,90.13071895,76.73202614
